Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
01 Andalucía;Total;Gasto medio por hogar;2021;26.965,44
01 Andalucía;Total;Gasto medio por hogar;2020;24.279,43
01 Andalucía;Total;Gasto medio por hogar;2019;27.532,66
01 Andalucía;Total;Gasto medio por hogar;2018;28.065,66
01 Andalucía;Total;Gasto medio por hogar;2017;27.455,86
01 Andalucía;Total;Gasto medio por hogar;2016;25.877,94
01 Andalucía;Total;Gasto medio por hogar;2015;24.396,54
01 Andalucía;Total;Gasto medio por hogar;2014;24.388,32
01 Andalucía;Total;Gasto medio por hogar;2013;24.349,51
01 Andalucía;Total;Gasto medio por hogar;2012;25.642,98
01 Andalucía;Total;Gasto medio por hogar;2011;27.203,92
02 Aragón;Total;Gasto medio por hogar;2021;28.627,34
02 Aragón;Total;Gasto medio por hogar;2020;27.695,68
02 Aragón;Total;Gasto medio por hogar;2019;30.716,04
02 Aragón;Total;Gasto medio por hogar;2018;28.728,85
02 Aragón;Total;Gasto medio por hogar;2017;28.055,46
02 Aragón;Total;Gasto medio por hogar;2016;27.880,66
02 Aragón;Total;Gasto medio por hogar;2015;27.073,94
02 Aragón;Total;Gasto medio por hogar;2014;26.673,84
02 Aragón;Total;Gasto medio por hogar;2013;27.644,60
02 Aragón;Total;Gasto medio por hogar;2012;27.963,34
02 Aragón;Total;Gasto medio por hogar;2011;28.077,79
03 Asturias, Principado de;Total;Gasto medio por hogar;2021;26.092,73
03 Asturias, Principado de;Total;Gasto medio por hogar;2020;23.504,49
03 Asturias, Principado de;Total;Gasto medio por hogar;2019;27.367,02
03 Asturias, Principado de;Total;Gasto medio por hogar;2018;27.185,87
03 Asturias, Principado de;Total;Gasto medio por hogar;2017;26.422,45
03 Asturias, Principado de;Total;Gasto medio por hogar;2016;26.811,61
03 Asturias, Principado de;Total;Gasto medio por hogar;2015;27.005,81
03 Asturias, Principado de;Total;Gasto medio por hogar;2014;26.094,57
03 Asturias, Principado de;Total;Gasto medio por hogar;2013;25.697,07
03 Asturias, Principado de;Total;Gasto medio por hogar;2012;26.149,83
03 Asturias, Principado de;Total;Gasto medio por hogar;2011;27.142,14
04 Balears, Illes;Total;Gasto medio por hogar;2021;31.177,43
04 Balears, Illes;Total;Gasto medio por hogar;2020;28.618,46
04 Balears, Illes;Total;Gasto medio por hogar;2019;33.125,73
04 Balears, Illes;Total;Gasto medio por hogar;2018;33.076,31
04 Balears, Illes;Total;Gasto medio por hogar;2017;32.398,28
04 Balears, Illes;Total;Gasto medio por hogar;2016;31.437,73
04 Balears, Illes;Total;Gasto medio por hogar;2015;29.445,36
04 Balears, Illes;Total;Gasto medio por hogar;2014;28.799,78
04 Balears, Illes;Total;Gasto medio por hogar;2013;27.717,69
04 Balears, Illes;Total;Gasto medio por hogar;2012;28.497,38
04 Balears, Illes;Total;Gasto medio por hogar;2011;29.206,20
05 Canarias;Total;Gasto medio por hogar;2021;25.035,27
05 Canarias;Total;Gasto medio por hogar;2020;21.844,35
05 Canarias;Total;Gasto medio por hogar;2019;25.389,65
05 Canarias;Total;Gasto medio por hogar;2018;24.124,80
05 Canarias;Total;Gasto medio por hogar;2017;23.918,51
05 Canarias;Total;Gasto medio por hogar;2016;23.638,36
05 Canarias;Total;Gasto medio por hogar;2015;23.426,08
05 Canarias;Total;Gasto medio por hogar;2014;23.178,86
05 Canarias;Total;Gasto medio por hogar;2013;22.122,91
05 Canarias;Total;Gasto medio por hogar;2012;22.882,78
05 Canarias;Total;Gasto medio por hogar;2011;24.114,80
06 Cantabria;Total;Gasto medio por hogar;2021;26.673,03
06 Cantabria;Total;Gasto medio por hogar;2020;24.639,51
06 Cantabria;Total;Gasto medio por hogar;2019;29.520,52
06 Cantabria;Total;Gasto medio por hogar;2018;30.071,44
06 Cantabria;Total;Gasto medio por hogar;2017;29.945,34
06 Cantabria;Total;Gasto medio por hogar;2016;27.549,85
06 Cantabria;Total;Gasto medio por hogar;2015;27.973,91
06 Cantabria;Total;Gasto medio por hogar;2014;26.981,59
06 Cantabria;Total;Gasto medio por hogar;2013;27.162,99
06 Cantabria;Total;Gasto medio por hogar;2012;28.971,69
06 Cantabria;Total;Gasto medio por hogar;2011;29.616,25
07 Castilla y León;Total;Gasto medio por hogar;2021;27.172,39
07 Castilla y León;Total;Gasto medio por hogar;2020;25.150,35
07 Castilla y León;Total;Gasto medio por hogar;2019;27.233,61
07 Castilla y León;Total;Gasto medio por hogar;2018;26.919,14
07 Castilla y León;Total;Gasto medio por hogar;2017;26.813,96
07 Castilla y León;Total;Gasto medio por hogar;2016;26.078,83
07 Castilla y León;Total;Gasto medio por hogar;2015;26.046,63
07 Castilla y León;Total;Gasto medio por hogar;2014;25.030,36
07 Castilla y León;Total;Gasto medio por hogar;2013;24.879,62
07 Castilla y León;Total;Gasto medio por hogar;2012;25.466,24
07 Castilla y León;Total;Gasto medio por hogar;2011;26.128,57
08 Castilla - La Mancha;Total;Gasto medio por hogar;2021;24.290,52
08 Castilla - La Mancha;Total;Gasto medio por hogar;2020;23.115,57
08 Castilla - La Mancha;Total;Gasto medio por hogar;2019;26.551,65
08 Castilla - La Mancha;Total;Gasto medio por hogar;2018;25.648,31
08 Castilla - La Mancha;Total;Gasto medio por hogar;2017;24.986,65
08 Castilla - La Mancha;Total;Gasto medio por hogar;2016;25.090,47
08 Castilla - La Mancha;Total;Gasto medio por hogar;2015;25.091,81
08 Castilla - La Mancha;Total;Gasto medio por hogar;2014;24.435,23
08 Castilla - La Mancha;Total;Gasto medio por hogar;2013;24.471,64
08 Castilla - La Mancha;Total;Gasto medio por hogar;2012;24.369,49
08 Castilla - La Mancha;Total;Gasto medio por hogar;2011;26.006,52
09 Cataluña;Total;Gasto medio por hogar;2021;31.710,05
09 Cataluña;Total;Gasto medio por hogar;2020;29.234,76
09 Cataluña;Total;Gasto medio por hogar;2019;32.915,71
09 Cataluña;Total;Gasto medio por hogar;2018;32.585,71
09 Cataluña;Total;Gasto medio por hogar;2017;31.619,45
09 Cataluña;Total;Gasto medio por hogar;2016;30.445,96
09 Cataluña;Total;Gasto medio por hogar;2015;30.229,32
09 Cataluña;Total;Gasto medio por hogar;2014;29.830,79
09 Cataluña;Total;Gasto medio por hogar;2013;29.361,70
09 Cataluña;Total;Gasto medio por hogar;2012;30.017,74
09 Cataluña;Total;Gasto medio por hogar;2011;31.477,71
10 Comunitat Valenciana;Total;Gasto medio por hogar;2021;28.057,28
10 Comunitat Valenciana;Total;Gasto medio por hogar;2020;25.915,10
10 Comunitat Valenciana;Total;Gasto medio por hogar;2019;29.444,27
10 Comunitat Valenciana;Total;Gasto medio por hogar;2018;28.356,34
10 Comunitat Valenciana;Total;Gasto medio por hogar;2017;27.227,17
10 Comunitat Valenciana;Total;Gasto medio por hogar;2016;26.094,00
10 Comunitat Valenciana;Total;Gasto medio por hogar;2015;25.009,82
10 Comunitat Valenciana;Total;Gasto medio por hogar;2014;24.586,61
10 Comunitat Valenciana;Total;Gasto medio por hogar;2013;24.693,28
10 Comunitat Valenciana;Total;Gasto medio por hogar;2012;26.061,70
10 Comunitat Valenciana;Total;Gasto medio por hogar;2011;26.034,56
11 Extremadura;Total;Gasto medio por hogar;2021;24.826,83
11 Extremadura;Total;Gasto medio por hogar;2020;22.771,16
11 Extremadura;Total;Gasto medio por hogar;2019;23.181,92
11 Extremadura;Total;Gasto medio por hogar;2018;23.429,06
11 Extremadura;Total;Gasto medio por hogar;2017;22.887,31
11 Extremadura;Total;Gasto medio por hogar;2016;23.003,70
11 Extremadura;Total;Gasto medio por hogar;2015;22.547,45
11 Extremadura;Total;Gasto medio por hogar;2014;23.089,06
11 Extremadura;Total;Gasto medio por hogar;2013;22.688,61
11 Extremadura;Total;Gasto medio por hogar;2012;22.228,02
11 Extremadura;Total;Gasto medio por hogar;2011;24.032,06
12 Galicia;Total;Gasto medio por hogar;2021;28.429,63
12 Galicia;Total;Gasto medio por hogar;2020;24.975,71
12 Galicia;Total;Gasto medio por hogar;2019;26.846,48
12 Galicia;Total;Gasto medio por hogar;2018;27.256,92
12 Galicia;Total;Gasto medio por hogar;2017;26.962,72
12 Galicia;Total;Gasto medio por hogar;2016;26.291,11
12 Galicia;Total;Gasto medio por hogar;2015;26.433,15
12 Galicia;Total;Gasto medio por hogar;2014;25.972,41
12 Galicia;Total;Gasto medio por hogar;2013;26.140,36
12 Galicia;Total;Gasto medio por hogar;2012;27.258,05
12 Galicia;Total;Gasto medio por hogar;2011;28.255,87
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2021;34.326,24
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2020;32.502,41
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2019;35.798,09
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2018;34.793,11
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2017;34.016,49
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2016;32.682,55
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2015;31.586,06
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2014;31.509,21
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2013;32.603,80
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2012;34.824,38
13 Madrid, Comunidad de;Total;Gasto medio por hogar;2011;35.568,91
14 Murcia, Región de;Total;Gasto medio por hogar;2021;27.555,87
14 Murcia, Región de;Total;Gasto medio por hogar;2020;25.080,79
14 Murcia, Región de;Total;Gasto medio por hogar;2019;29.746,05
14 Murcia, Región de;Total;Gasto medio por hogar;2018;29.890,47
14 Murcia, Región de;Total;Gasto medio por hogar;2017;29.708,26
14 Murcia, Región de;Total;Gasto medio por hogar;2016;27.726,15
14 Murcia, Región de;Total;Gasto medio por hogar;2015;26.150,33
14 Murcia, Región de;Total;Gasto medio por hogar;2014;25.739,19
14 Murcia, Región de;Total;Gasto medio por hogar;2013;26.017,67
14 Murcia, Región de;Total;Gasto medio por hogar;2012;27.390,38
14 Murcia, Región de;Total;Gasto medio por hogar;2011;27.283,38
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2021;32.676,78
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2020;31.780,35
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2019;33.909,75
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2018;34.637,23
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2017;32.834,68
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2016;32.232,11
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2015;31.410,15
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2014;31.421,99
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2013;30.728,31
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2012;31.762,54
15 Navarra, Comunidad Foral de;Total;Gasto medio por hogar;2011;33.061,51
16 País Vasco;Total;Gasto medio por hogar;2021;33.045,24
16 País Vasco;Total;Gasto medio por hogar;2020;31.498,23
16 País Vasco;Total;Gasto medio por hogar;2019;34.423,19
16 País Vasco;Total;Gasto medio por hogar;2018;34.211,88
16 País Vasco;Total;Gasto medio por hogar;2017;33.709,32
16 País Vasco;Total;Gasto medio por hogar;2016;33.691,02
16 País Vasco;Total;Gasto medio por hogar;2015;33.372,39
16 País Vasco;Total;Gasto medio por hogar;2014;31.881,76
16 País Vasco;Total;Gasto medio por hogar;2013;32.770,51
16 País Vasco;Total;Gasto medio por hogar;2012;33.216,43
16 País Vasco;Total;Gasto medio por hogar;2011;33.897,26
17 Rioja, La;Total;Gasto medio por hogar;2021;26.605,35
17 Rioja, La;Total;Gasto medio por hogar;2020;25.568,16
17 Rioja, La;Total;Gasto medio por hogar;2019;29.149,25
17 Rioja, La;Total;Gasto medio por hogar;2018;28.054,96
17 Rioja, La;Total;Gasto medio por hogar;2017;28.081,27
17 Rioja, La;Total;Gasto medio por hogar;2016;26.880,18
17 Rioja, La;Total;Gasto medio por hogar;2015;26.206,27
17 Rioja, La;Total;Gasto medio por hogar;2014;26.398,49
17 Rioja, La;Total;Gasto medio por hogar;2013;26.502,29
17 Rioja, La;Total;Gasto medio por hogar;2012;26.276,97
17 Rioja, La;Total;Gasto medio por hogar;2011;28.139,26
18 Ceuta;Total;Gasto medio por hogar;2021;30.469,13
18 Ceuta;Total;Gasto medio por hogar;2020;24.432,56
18 Ceuta;Total;Gasto medio por hogar;2019;29.666,80
18 Ceuta;Total;Gasto medio por hogar;2018;26.840,69
18 Ceuta;Total;Gasto medio por hogar;2017;32.815,71
18 Ceuta;Total;Gasto medio por hogar;2016;30.618,56
18 Ceuta;Total;Gasto medio por hogar;2015;26.582,21
18 Ceuta;Total;Gasto medio por hogar;2014;30.164,13
18 Ceuta;Total;Gasto medio por hogar;2013;25.671,92
18 Ceuta;Total;Gasto medio por hogar;2012;31.171,74
18 Ceuta;Total;Gasto medio por hogar;2011;33.088,14
19 Melilla;Total;Gasto medio por hogar;2021;25.173,99
19 Melilla;Total;Gasto medio por hogar;2020;27.853,17
19 Melilla;Total;Gasto medio por hogar;2019;29.278,82
19 Melilla;Total;Gasto medio por hogar;2018;29.446,20
19 Melilla;Total;Gasto medio por hogar;2017;27.491,10
19 Melilla;Total;Gasto medio por hogar;2016;30.427,11
19 Melilla;Total;Gasto medio por hogar;2015;30.025,89
19 Melilla;Total;Gasto medio por hogar;2014;26.700,25
19 Melilla;Total;Gasto medio por hogar;2013;28.275,04
19 Melilla;Total;Gasto medio por hogar;2012;26.186,20
19 Melilla;Total;Gasto medio por hogar;2011;31.311,66
